shopNo,distCode,totalTransactions,meanTransactions,medianTransactions,maxTransactions,stdTransactions,totalOtherShopTrans,meanUtilization,meanPortability,totalRice,totalWheat,meanRiceWheatRatio,meanTransactionToCardRatio,totalRcs,volatilityCoeff,portabilityLoad,seasonalPeakTransactions,seasonalMeanTransactions,seasonalStdTransactions,seasonalPeakToMean,latitude,longitude,distName,shopStatus,pca1,pca2,pca3,kmeans_cluster,dbscan_cluster,clusterPersona
4406029,941,13698,44.76470588235294,45.0,83,16.29110778504737,13698,0.5813598166539342,1.0,260334.0,0.0,0.0,0.5813598166539342,77.0,0.36392750636768106,1.0,1494,805.7647058823529,301.7705107800803,1.8541392904073588,17.560683,78.771795,Yadadri Bhuvanagiri,Active,-1.3581205992666052,5.779099995849217,2.1890429176868005,4,0,Volatile Portability Hubs
4411030,941,8622,28.176470588235293,26.0,48,8.282802762397006,8622,0.552479815455594,1.0,173592.0,0.0,0.0,0.552479815455594,51.0,0.29396168467797307,1.0,864,507.1764705882353,153.4276031611154,1.7035490605427974,17.333446,78.732127,Yadadri Bhuvanagiri,Active,-1.6543622762831405,5.070239591935095,1.95666349115637,4,0,Volatile Portability Hubs
3402006,931,54,1.5,1.5,2,0.5070925528371101,54,0.005495627738274797,1.0,1062.0,0.0,0.0,0.005495627738274797,272.94444444444446,0.3380617018914067,1.0,36,27.0,12.727922061357855,1.3333333333333333,,,Nagarkarnool,Active,-1.8498033136838823,5.026462021130405,0.308710518155708,4,-1,Volatile Portability Hubs
1677755,536,284598,930.0588235294117,915.0,1172,99.24067352928333,284598,0.7922136486621906,1.0,6070176.0,832500.0,7.312995893736203,0.7922136486621906,1174.0,0.1067036525202591,1.0,21096,16741.058823529413,1838.297869993742,1.260135348807792,17.409002,78.445524,Hyderabad,Active,7.254474339918449,1.4357354369045756,-0.37661872784882927,3,0,High-Volume Urban Hubs
1803021,533,16,16.0,16.0,16,0.0,16,0.0,1.0,282.0,0.0,0.0,0.0,0.0,0.0,1.0,16,16.0,0.0,1.0,,,,,-2.3844709827269925,2.4616843739595384,-0.25147854651973245,1,2,Stable Rural Shops
1803022,533,10,10.0,10.0,10,0.0,10,0.0,1.0,185.0,0.0,0.0,0.0,0.0,0.0,1.0,10,10.0,0.0,1.0,,,,,-2.406637020981506,2.4706384328769255,-0.2440435903713081,1,2,Stable Rural Shops
1803023,533,113,113.0,113.0,113,0.0,113,0.0,1.0,1963.0,0.0,0.0,0.0,0.0,0.0,1.0,113,113.0,0.0,1.0,,,,,-2.0260988483601534,2.3169177541820076,-0.37168417404275583,1,2,Stable Rural Shops
1803017,533,24,24.0,24.0,24,0.0,24,0.0,1.0,450.0,0.0,0.0,0.0,0.0,0.0,1.0,24,24.0,0.0,1.0,,,,,-2.354909006029424,2.449742430101831,-0.261394278387721,1,2,Stable Rural Shops
3612011,933,10458,34.1764705882353,1.0,223,60.932332007693994,10458,0.09927112989972872,1.0,189954.0,0.0,0.0,0.09927112989972872,344.27777777777777,1.782873742049566,1.0,4014,615.1764705882352,1128.6881896306725,6.524956970740104,18.7476,79.51346,Peddapalli,Active,0.7767872663876492,24.759548386589987,5.889500104436915,4,-1,Volatile Portability Hubs
1803018,533,1,1.0,1.0,1,0.0,1,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,,,,,-2.4398867354301825,2.4840698107845802,-0.23289093374749917,1,2,Stable Rural Shops
1803019,533,41,41.0,41.0,41,0.0,41,0.0,1.0,714.0,0.0,0.0,0.0,0.0,0.0,1.0,41,41.0,0.0,1.0,,,,,-2.292107264753495,2.424373492671722,-0.2824592990903444,1,2,Stable Rural Shops
1803020,533,3,3.0,3.0,3,0.0,3,0.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3.0,0.0,1.0,,,,,-2.4324966167225948,2.481084490266767,-0.2353697396281125,1,2,Stable Rural Shops
1581645,537,200970,656.7647058823529,653.0,747,31.814990735296135,200970,0.7586810558902972,1.0,4358250.0,0.0,0.0,0.7586810558902972,865.6666666666666,0.048441992163012475,1.0,13446,11821.764705882353,589.3292298677121,1.1373936408419167,17.41608,78.390348,Ranga Reddy,Active,3.493529937684293,0.9120227019922894,0.11889097450218629,0,0,Active Urban Shops
4406028,941,17226,56.294117647058826,58.0,86,15.992162979406011,17226,0.4397977941176471,1.0,331488.0,0.0,0.0,0.4397977941176471,128.0,0.28408230997899914,1.0,1548,1013.2941176470588,296.2329667478542,1.5276907001044933,17.609612,78.726405,Yadadri Bhuvanagiri,Active,-1.3761468649059396,4.730295609999136,1.4574991864927365,4,0,Volatile Portability Hubs
1820016,533,62,62.0,62.0,62,0.0,62,0.0,1.0,1311.0,0.0,0.0,0.0,0.0,0.0,1.0,62,62.0,0.0,1.0,,,,,-2.2144777895116374,2.393012985209402,-0.30849800798175964,1,2,Stable Rural Shops
1820017,533,78,78.0,78.0,78,0.0,78,0.0,1.0,1560.0,0.0,0.0,0.0,0.0,0.0,1.0,78,78.0,0.0,1.0,,,,,-2.1553701689224907,2.3691362944216667,-0.3283239434600362,1,2,Stable Rural Shops
1820021,533,151,75.5,75.5,136,85.55992052357225,151,0.0,1.0,2544.0,0.0,0.0,0.0,0.0,1.1332439804446655,1.0,136,75.5,85.55992052357225,1.8013245033112584,,,,,-0.6403241596988165,11.167694769569438,2.0785702760881817,4,-1,Volatile Portability Hubs
1815028,533,3,3.0,3.0,3,0.0,3,0.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3.0,0.0,1.0,,,,,-2.4324966167225948,2.481084490266767,-0.2353697396281125,1,2,Stable Rural Shops
1815031,533,67,67.0,67.0,67,0.0,67,0.0,1.0,1422.0,0.0,0.0,0.0,0.0,0.0,1.0,67,67.0,0.0,1.0,,,,,-2.1960004276752443,2.385548773958495,-0.3146957216584041,1,2,Stable Rural Shops
