shopNo,distCode,totalTransactions,meanTransactions,medianTransactions,maxTransactions,stdTransactions,totalOtherShopTrans,meanUtilization,meanPortability,totalRice,totalWheat,meanRiceWheatRatio,meanTransactionToCardRatio,totalRcs,volatilityCoeff,portabilityLoad,seasonalPeakTransactions,seasonalMeanTransactions,seasonalStdTransactions,seasonalPeakToMean,latitude,longitude,distName,shopStatus,pca1,pca2,pca3,kmeans_cluster,dbscan_cluster
1407001,538,4721,277.70588235294116,279.0,294,11.128593272974532,943,0.7892558112338579,0.1990153278286131,120363.0,0.0,0.0,0.7892558112338579,352.6470588235294,0.04007330769764183,0.19974581656428722,294,277.70588235294116,11.128593272974538,1.0586740097436984,16.755785,77.789107,Mahbubnagar,Active,-1.5840278835092696,-0.2972311759286719,-0.22692528200665213,1,0
1407002,538,4301,253.0,250.0,291,15.012494796002422,904,0.7955974842767296,0.2083583783093036,103502.0,0.0,0.0,0.7955974842767296,318.0,0.05933792409487123,0.21018367821436876,291,253.0,15.01249479600243,1.150197628458498,16.762942,77.787768,Mahbubnagar,Active,-1.6850290837919017,0.07420548674133498,-0.39441670605911106,1,0
1407003,538,7205,423.8235294117647,425.0,428,3.1669246540936014,2038,0.9632352941176471,0.28287784367521407,174844.0,0.0,0.0,0.9632352941176471,440.0,0.007472271911116062,0.2828591256072172,428,423.8235294117647,3.1669246540935987,1.009854267869535,16.760522,77.789452,Mahbubnagar,Active,-0.21858991954112844,-1.2314019041976285,-0.7182589959868417,1,0
1407004,538,3571,210.05882352941177,206.0,238,14.284915944079327,120,0.5731244302182815,0.03335254965923023,85706.0,0.0,0.0,0.5731244302182815,367.6470588235294,0.06800436041706764,0.033604032483898066,238,210.05882352941177,14.284915944079327,1.1330159619154299,16.74922,77.810551,Mahbubnagar,Active,-2.742129125216204,0.5313157164341014,1.0383165208492195,1,0
1407005,538,3852,226.58823529411765,226.0,237,4.8613118539316575,175,0.8392156862745098,0.045396832572759546,88904.0,0.0,0.0,0.8392156862745098,270.0,0.02145438772503587,0.04543094496365525,237,226.58823529411765,4.861311853931673,1.0459501557632398,16.772474,77.804698,Mahbubnagar,Active,-2.2440019643716114,-0.8631182458970015,-0.2805526701382731,1,0
1407006,538,4166,245.05882352941177,246.0,255,5.9735938537376105,397,0.793070626308776,0.0952640202493364,99076.0,0.0,0.0,0.793070626308776,309.0,0.024376163109346947,0.09529524723955833,255,245.05882352941177,5.973593853737615,1.0405664906385022,16.774763,77.82474,Mahbubnagar,Active,-2.0898489865141685,-0.6289305125230384,-0.11410791712826476,1,0
1407007,538,6106,359.1764705882353,358.0,372,5.1019027592365855,176,0.8050332493082968,0.02880736585223714,136179.0,0.0,0.0,0.8050332493082968,446.47058823529414,0.014204445939571233,0.028824107435309533,372,359.1764705882353,5.101902759236585,1.0357025876187356,16.768935,77.842219,Mahbubnagar,Active,-1.5107453740345618,-1.0019731902621598,0.5702824097042163,1,0
1407008,538,3485,205.0,203.0,221,6.76387462923434,423,0.8039215686274509,0.1209114772897309,75784.0,0.0,0.0,0.8039215686274509,255.0,0.032994510386508975,0.12137733142037303,221,205.0,6.763874629234346,1.078048780487805,16.778867,77.867322,Mahbubnagar,Active,-2.289372254571554,-0.4235108915501211,-0.44513339323557777,1,0
1407009,538,3729,219.35294117647058,219.0,235,8.215390864640801,135,0.6983308378807891,0.0360405173520788,95343.0,0.0,0.0,0.6983308378807891,314.29411764705884,0.037452841163554206,0.036202735317779566,235,219.35294117647058,8.215390864640813,1.0713327969965138,16.794326,77.848989,Mahbubnagar,Active,-2.5066875207479042,-0.24636856347881514,0.42636338398569323,1,0
1407010,538,3845,226.1764705882353,226.0,240,7.970533969860856,74,0.6823015265172439,0.019231517490413547,93027.0,0.0,0.0,0.6823015265172439,331.52941176470586,0.03524033224645892,0.019245773732119636,240,226.1764705882353,7.970533969860862,1.0611183355006502,16.810199,77.819086,Mahbubnagar,Active,-2.545772406297303,-0.2656185901652066,0.5819713313429047,1,0
