year,month,noOfTrans,otherShopTrans,totalRcs,riceQty,wheatQty
2024,1,139034686,49291629,161874409.0,2885261135.0,62593596.0
2024,2,137528574,48997749,161866678.0,2851227124.0,62741412.0
2024,3,137636792,48893831,162057568.0,2853930308.0,64233792.0
2024,4,137290869,48816538,162035974.0,2850270772.0,63296298.0
2024,5,137403186,48821484,162031128.0,2852637394.0,62262630.0
2024,6,138132127,49702441,162004337.0,2867619433.0,61610130.0
2024,7,138945398,50750115,162018413.0,2884427964.0,60869610.0
2024,8,136932988,49938088,162131602.0,2846035757.0,60859944.0
2024,9,138544679,50676859,162132165.0,2874122814.0,62606070.0
2024,10,138066941,49052157,162099560.0,2866415964.0,65142648.0
2024,11,139064670,50737352,162106247.0,2885035781.0,66900888.0
2024,12,139811728,51856620,162086382.0,2900227713.0,67585932.0
2025,1,140008175,52215308,162062294.0,2905177011.0,69017418.0
2025,2,139216550,52135727,162073979.0,2893611871.0,63838602.0
2025,3,139202168,52147494,162084578.0,2875842397.0,61366806.0
2025,4,144429278,54127389,162200566.0,3004961564.0,49717710.0
2025,5,143640595,54378775,162214795.0,3061149411.0,64259928.0
